id_from,id_to
a1bef326-a4c7-4850-8e86-caae7060fa14,ad55c81d-62ac-435a-a538-4ebe91fbd977
a1bef326-a4c7-4850-8e86-caae7060fa14,2d473afa-c484-4af4-8df8-c90c89d17acc
a1bef326-a4c7-4850-8e86-caae7060fa14,304eebd6-e9e1-4b10-b796-c75c8e67ccbe
a1bef326-a4c7-4850-8e86-caae7060fa14,f5be4172-43cf-4d05-a469-4116313996a1
a1bef326-a4c7-4850-8e86-caae7060fa14,4f0387f9-b0f6-4477-a4f3-26d8b0c31e28
a1bef326-a4c7-4850-8e86-caae7060fa14,bc9f58a2-6cbf-4d6c-8e63-fbc484862fa1
a1bef326-a4c7-4850-8e86-caae7060fa14,52735922-03fd-4727-a002-03524a514898
a1bef326-a4c7-4850-8e86-caae7060fa14,e845a68d-f29c-49f7-9549-3a22ea1556dc
a1bef326-a4c7-4850-8e86-caae7060fa14,d30071b7-b693-444f-8600-ab46db0c0ffc
a1bef326-a4c7-4850-8e86-caae7060fa14,93052d89-0b36-4633-8859-a7e8fa834e4c
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,2e5d0010-2c89-4a7a-861f-754710965134
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,a0599f63-892d-42c2-ae44-27c814273ca0
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,28cb6a8a-1589-4a54-b46b-f3dea56641b1
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,cb73bf9f-4f82-437f-ba5f-7bf2a4f5ef46
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,60edbf30-70a0-4274-839a-94efc6b4bb3a
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,09e9c7b7-63c4-40c8-ab19-c6a7df41aeff
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,3289c9ed-907a-47b8-8162-ed37237a17b1
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,019799d8-d849-4bb0-8487-2826225c9e9c
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,44a5863e-17df-4d38-bf75-66dd0b07ec07
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,63ede154-3323-45b6-a941-42423c120bb7
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,a1ca7fcf-31ed-429e-a7bf-b55acd33674f
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,6996c783-0a1a-42f4-ad02-03a23504c353
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,ed5cbb83-78f5-49e2-b200-cc5e094cd6f8
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,5383a58d-c4d1-4863-8b27-33ef495e7a0b
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,bb50dfce-8bd0-4980-b064-ba4c8411c71b
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,277ab086-c0be-4183-bed1-31c766c8917c
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,1997eb30-74ca-440c-bae1-337c8509fdf0
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,9eaa8454-8b9f-4206-8eb2-b6ed61fab4c4
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,3ccd5441-37d7-4b57-a119-0b8286232ab0
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,adad3111-4112-421b-bd9e-8696d07a39df
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,37ae4a9e-0ae0-44ed-a25b-dd6991a4826d
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,fba9d88b-5b99-4902-b007-49f2e6563a72
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,73897751-16dc-44b5-b906-19ff848b1b75
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,4c982598-2a93-407f-8f48-e63ec2f15fc4
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,da35a143-f6ca-4891-b3c6-114a09818c18
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,7cd0ce88-8941-4a44-9b85-d70751a1057a
5fad23f3-201f-4ec0-9ef7-712b8cb4b103,63e35836-b8b4-40b2-88da-8027e2ae1161
d4801993-9b62-4d43-8e7c-78a51904f73a,b7098237-3a89-4cc1-97fc-2e0c6bbd09cf
d4801993-9b62-4d43-8e7c-78a51904f73a,3289c9ed-907a-47b8-8162-ed37237a17b1
d4801993-9b62-4d43-8e7c-78a51904f73a,fe920567-9eee-468a-b405-98bf73b49d95
d4801993-9b62-4d43-8e7c-78a51904f73a,0b7c422d-d4bc-4866-86a0-786aa9434ad0
d4801993-9b62-4d43-8e7c-78a51904f73a,d30071b7-b693-444f-8600-ab46db0c0ffc
d4801993-9b62-4d43-8e7c-78a51904f73a,7533bea9-6ccc-4678-920d-3ac5dd64b707
d4801993-9b62-4d43-8e7c-78a51904f73a,8dc6d0f7-9e66-465b-bdf5-3c443b6b4e25
d4801993-9b62-4d43-8e7c-78a51904f73a,b7e7a7fd-0f22-4004-be48-75b08defb1ac
d4801993-9b62-4d43-8e7c-78a51904f73a,08817f04-e49b-4cec-a5cc-94f3ab94e37f
d4801993-9b62-4d43-8e7c-78a51904f73a,d014fa56-deb7-4a63-9601-ee5c53023e38
d210628e-ca0e-4d66-8a4f-82e00424e425,b09353fe-db5e-4847-b31e-af37f2830b9d
d210628e-ca0e-4d66-8a4f-82e00424e425,d4bf02f4-28b4-49cb-a466-32a41836649c
d210628e-ca0e-4d66-8a4f-82e00424e425,72025819-3321-4b9f-8745-18f967ba682f
d210628e-ca0e-4d66-8a4f-82e00424e425,c14e53a3-eb93-4a22-a551-acbff6b81419
d210628e-ca0e-4d66-8a4f-82e00424e425,a9d97fe3-020a-49a8-ac5d-5f628ebcf043
d210628e-ca0e-4d66-8a4f-82e00424e425,85b47497-bd20-4bfd-9c5d-392571596892
d210628e-ca0e-4d66-8a4f-82e00424e425,31838c2a-0feb-44ec-a3f6-1a79a26f8c17
d210628e-ca0e-4d66-8a4f-82e00424e425,3beeba4b-79f5-4ef6-81b3-dc28108a76c2
d210628e-ca0e-4d66-8a4f-82e00424e425,31af3962-3195-435a-a4f9-a485b9ccd3fb
d210628e-ca0e-4d66-8a4f-82e00424e425,df7e402d-10fe-4619-a414-37f8557ea02c
d210628e-ca0e-4d66-8a4f-82e00424e425,8dc6d0f7-9e66-465b-bdf5-3c443b6b4e25
d210628e-ca0e-4d66-8a4f-82e00424e425,6156f8ef-3781-4bc4-a41c-1691d8bdff59
d210628e-ca0e-4d66-8a4f-82e00424e425,9eaa8454-8b9f-4206-8eb2-b6ed61fab4c4
d210628e-ca0e-4d66-8a4f-82e00424e425,4817ed3a-a711-49a1-a8ff-e0eb36a91a2b
d210628e-ca0e-4d66-8a4f-82e00424e425,37ae4a9e-0ae0-44ed-a25b-dd6991a4826d
d210628e-ca0e-4d66-8a4f-82e00424e425,100a2e77-4cbc-4afb-b3da-78a55c81e953
d210628e-ca0e-4d66-8a4f-82e00424e425,7533bea9-6ccc-4678-920d-3ac5dd64b707
d210628e-ca0e-4d66-8a4f-82e00424e425,d784cef2-d32f-4f08-a5d7-0a0ab8bf12af
d210628e-ca0e-4d66-8a4f-82e00424e425,c8ff1d3c-5a0a-4b0d-9927-656fee95696b
d210628e-ca0e-4d66-8a4f-82e00424e425,3b8713e9-e288-441c-8b35-e7436e0ea278
d210628e-ca0e-4d66-8a4f-82e00424e425,338a4df0-de1b-4af9-983c-624c8c93af1b
