,id_from,id_to
0,a1bef326-a4c7-4850-8e86-caae7060fa14,ad55c81d-62ac-435a-a538-4ebe91fbd977
1,a1bef326-a4c7-4850-8e86-caae7060fa14,2d473afa-c484-4af4-8df8-c90c89d17acc
2,a1bef326-a4c7-4850-8e86-caae7060fa14,304eebd6-e9e1-4b10-b796-c75c8e67ccbe
3,a1bef326-a4c7-4850-8e86-caae7060fa14,f5be4172-43cf-4d05-a469-4116313996a1
4,a1bef326-a4c7-4850-8e86-caae7060fa14,4f0387f9-b0f6-4477-a4f3-26d8b0c31e28
5,a1bef326-a4c7-4850-8e86-caae7060fa14,bc9f58a2-6cbf-4d6c-8e63-fbc484862fa1
6,a1bef326-a4c7-4850-8e86-caae7060fa14,52735922-03fd-4727-a002-03524a514898
7,a1bef326-a4c7-4850-8e86-caae7060fa14,e845a68d-f29c-49f7-9549-3a22ea1556dc
8,a1bef326-a4c7-4850-8e86-caae7060fa14,d30071b7-b693-444f-8600-ab46db0c0ffc
9,a1bef326-a4c7-4850-8e86-caae7060fa14,93052d89-0b36-4633-8859-a7e8fa834e4c
10,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,2e5d0010-2c89-4a7a-861f-754710965134
11,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,a0599f63-892d-42c2-ae44-27c814273ca0
12,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,28cb6a8a-1589-4a54-b46b-f3dea56641b1
13,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,cb73bf9f-4f82-437f-ba5f-7bf2a4f5ef46
14,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,60edbf30-70a0-4274-839a-94efc6b4bb3a
15,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,09e9c7b7-63c4-40c8-ab19-c6a7df41aeff
16,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,3289c9ed-907a-47b8-8162-ed37237a17b1
17,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,019799d8-d849-4bb0-8487-2826225c9e9c
18,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,44a5863e-17df-4d38-bf75-66dd0b07ec07
19,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,63ede154-3323-45b6-a941-42423c120bb7
20,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,a1ca7fcf-31ed-429e-a7bf-b55acd33674f
21,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,6996c783-0a1a-42f4-ad02-03a23504c353
22,5fad23f3-201f-4ec0-9ef7-712b8cb4b103,ed5cbb83-78f5-49e2-b200-cc5e094cd6f8
